,Product Name,Actual Price,Discont Price
0,ارز باب الهند بنجابي 40 كيلو,322.35,
1,ارز أبو كاس مزة بسمتي 5 كيلو,39.95,36.95
2,ارز الشعلان بسمتي مزة 20كيلو,133.95,128.00
3,ارز هالي كالروز مصري 5كيلو,22.95,
4,ارز جرين فارمز كرنل ابيض 10كيلو,69.25,59.95
5,ارز جرين فارمز كرنل ابيض 5كيلو,35.65,31.95
6,ارز ملك الارز بسمتي مزة 10كيلو,70.88,
7,ارز هالي سيلا بسمتي 10كيلو,47.95,
8,ارز هالي برمل 40 كيلو,101.95,
9,ارز هالي برمل مزة 10ك,24.95,
10,ارز المضياف عنبر باكستاني 5ك,31.95,
11,ارز زاد الوطن مزة 40كيلو,154.95,
12,ارز الشعلان مزة بسمتي 5 كيلو,34.95,29.95
13,ارز العائلة بسمتي ابيض 5 كيلو,44.95,
14,ارز العائلة بسمتي ابيض 10 كيلو,76.50,
15,ارز الشعلان مزة بسمتي 10ك,68.95,64.95
16,ارز الوسام بسمتي 5 كيلو,40.95,
17,ارز الوسام بسمتي 10 كيلو,79.95,
18,معجون طماطم لونا 8×135جرام,7.30,5.95
19,ارز جرين فارمز مصري 5 كيلو,28.95,19.95
20,جبن المراعي كاسات طعم القشطة 900جرام,25.20,18.95
21,شاي ليبتون أكياس 200حبه,35.70,22.95
22,بسكويت اوريو الاصلي 16* 38 جرام,15.70,8.95
23,حليب نيدو بودرة 1800جرام,58.95,43.95
24,دجاج دو مجمد 10*1100جرام,141.00,110.95
25,سكر حلواني ابيض نقي 5 كجم,17.80,8.95
26,ارز زاد الوطن مزة 10 كيلو,39.95,
27,ارز بوندي مزة هندي 40 كيلو,252.00,
28,ارز المضياف عنبر باكستاني 10 كيلو,59.75,
29,ارز ابو بنتين 10 كيلو,47.50,
30,ارز مالجروسا تايلندي 10 كيلو,66.95,
31,سكر النحلة قوالب 1كيلو,12.55,
32,سكر النحلة اشكال 500جرام,9.40,
33,سكر الاسرة خشن 5 كيلو,18.95,
34,سكر خشن سعودي كيس 50كيلو,124.00,
35,سكر اسره خشن 10 كيلو,33.08,
36,سكر النحلة قوالب 500جرام,7.30,
37,سكر حلواني توب توب قوالب 1كيلو,9.72,
38,سكر حلواني توب توب قوالب 500جرام,5.52,
39,ارز ميسم بسمتي سيلا هندي ١٠كجم,68.20,
40,ارز تيجان مزه هندي بسمتي ١٠ كجم,62.95,52.95
41,أرز جودان كالروز ٥ كجم,17.95,
42,أرز ملك الأرز بسمتي مزة 5 كجم,40.70,
43,سكر اس اي اس ناعم 1كيلو,6.83,
44,معجون طماطم لونا 8×135جرام,7.30,5.95
45,ارز جرين فارمز مصري 5 كيلو,28.95,19.95
